Motor energy,Geopolitical entity (reporting),TIME_PERIOD,OBS_VALUE
Alternative energy,Norway,2018,46209.0
Alternative energy,Norway,2019,60320.0
Alternative energy,Norway,2020,82239.0
Alternative energy,Norway,2021,116436.0
Alternative energy,Norway,2022,142531.0
Alternative energy,Norway,2023,104729.0
Alternative energy,Norway,2024,114823.0
Alternative energy,Poland,2013,3525.0
Alternative energy,Poland,2014,4873.0
Alternative energy,Poland,2015,5614.0
Alternative energy,Poland,2016,6659.0
Alternative energy,Poland,2017,10619.0
Alternative energy,Poland,2018,8243.0
Alternative energy,Poland,2019,9964.0
Alternative energy,Poland,2020,13010.0
Alternative energy,Poland,2021,20671.0
Alternative energy,Poland,2022,23534.0
Alternative energy,Poland,2023,29674.0
Alternative energy,Poland,2024,33126.0
Alternative energy,Portugal,2017,3723.0
Alternative energy,Portugal,2018,6383.0
Alternative energy,Portugal,2019,9173.0
Alternative energy,Portugal,2020,9822.0
Alternative energy,Portugal,2021,17198.0
Alternative energy,Portugal,2022,24138.0
Alternative energy,Portugal,2023,47805.0
Alternative energy,Portugal,2024,56958.0
Alternative energy,Romania,2013,392.0
Alternative energy,Romania,2014,802.0
Alternative energy,Romania,2015,762.0
Alternative energy,Romania,2016,1068.0
Alternative energy,Romania,2017,1141.0
Alternative energy,Romania,2018,1964.0
Alternative energy,Romania,2019,2922.0
Alternative energy,Romania,2020,12122.0
Alternative energy,Romania,2021,22296.0
Alternative energy,Romania,2022,25203.0
Alternative energy,Romania,2023,33036.0
Alternative energy,Romania,2024,25196.0
Alternative energy,Serbia,2019,1238.0
Alternative energy,Serbia,2020,1176.0
Alternative energy,Serbia,2021,1192.0
Alternative energy,Serbia,2022,1513.0
Alternative energy,Serbia,2023,2522.0
Alternative energy,Serbia,2024,2284.0
Alternative energy,Sweden,2013,7610.0
Alternative energy,Sweden,2014,9013.0
Alternative energy,Sweden,2015,9434.0
Alternative energy,Sweden,2016,7711.0
Alternative energy,Sweden,2017,9477.0
Alternative energy,Sweden,2018,11487.0
Alternative energy,Sweden,2019,21958.0
Alternative energy,Sweden,2020,31525.0
Alternative energy,Sweden,2021,60416.0
Alternative energy,Sweden,2022,99960.0
Alternative energy,Sweden,2023,118536.0
Alternative energy,Sweden,2024,99629.0
Alternative energy,Slovenia,2013,10.0
Alternative energy,Slovenia,2014,407.0
Alternative energy,Slovenia,2015,599.0
Alternative energy,Slovenia,2016,881.0
Alternative energy,Slovenia,2017,1838.0
Alternative energy,Slovenia,2018,2401.0
Alternative energy,Slovenia,2019,3274.0
Alternative energy,Slovenia,2020,3162.0
Alternative energy,Slovenia,2021,4466.0
Alternative energy,Slovenia,2022,5074.0
Alternative energy,Slovenia,2023,4810.0
Alternative energy,Slovenia,2024,3987.0
Alternative energy,Slovakia,2016,536.0
Alternative energy,Slovakia,2017,979.0
Alternative energy,Slovakia,2018,1051.0
Alternative energy,Slovakia,2019,557.0
Alternative energy,Slovakia,2020,1851.0
Alternative energy,Slovakia,2021,1969.0
Alternative energy,Slovakia,2022,3207.0
Alternative energy,Slovakia,2023,4329.0
Alternative energy,Slovakia,2024,4157.0
Alternative energy,Türkiye,2013,14495.0
Alternative energy,Türkiye,2014,11404.0
Alternative energy,Türkiye,2015,13442.0
Alternative energy,Türkiye,2016,13792.0
Alternative energy,Türkiye,2017,25508.0
Alternative energy,Türkiye,2018,26652.0
Alternative energy,Türkiye,2019,22779.0
Alternative energy,Türkiye,2020,34876.0
Alternative energy,Türkiye,2021,35216.0
Alternative energy,Türkiye,2022,19481.0
Alternative energy,Türkiye,2023,78659.0
Alternative energy,Türkiye,2024,114434.0
Alternative energy,Ukraine,2019,7647.0
Alternative energy,Ukraine,2020,2055.0
Alternative energy,Ukraine,2021,3202.0
Alternative energy,Ukraine,2022,2659.0
Alternative energy,Ukraine,2023,7647.0
Alternative energy,Ukraine,2024,10541.0
Alternative energy,United Kingdom,2015,10119.0
Alternative energy,United Kingdom,2016,10589.0
Alternative energy,United Kingdom,2017,13744.0
Alternative energy,United Kingdom,2018,15715.0
Alternative energy,United Kingdom,2021,190471.0
Alternative energy,United Kingdom,2022,266796.0
Alternative energy,United Kingdom,2023,311630.0
Alternative energy,Kosovo*,2017,4.0
Alternative energy,Kosovo*,2018,2.0
Alternative energy,Kosovo*,2019,0.0
Alternative energy,Kosovo*,2021,20.0
Bi-fuel,Albania,2020,0.0
Bi-fuel,Albania,2021,5310.0
Bi-fuel,Albania,2022,3432.0
Bi-fuel,Albania,2023,4246.0
Bi-fuel,Albania,2024,7775.0
Bi-fuel,Austria,2013,176.0
Bi-fuel,Austria,2014,511.0
Bi-fuel,Austria,2015,536.0
Bi-fuel,Austria,2016,367.0
Bi-fuel,Austria,2017,321.0
Bi-fuel,Austria,2018,532.0
Bi-fuel,Austria,2019,159.0
Bi-fuel,Austria,2020,21.0
Bi-fuel,Austria,2021,16.0
Bi-fuel,Austria,2022,12.0
Bi-fuel,Austria,2023,5.0
Bi-fuel,Austria,2024,1.0
Bi-fuel,Bosnia and Herzegovina,2013,39.0
Bi-fuel,Bosnia and Herzegovina,2014,46.0
Bi-fuel,Bosnia and Herzegovina,2015,48.0
Bi-fuel,Bosnia and Herzegovina,2016,140.0
Bi-fuel,Bosnia and Herzegovina,2017,129.0
Bi-fuel,Bosnia and Herzegovina,2018,97.0
Bi-fuel,Bosnia and Herzegovina,2019,123.0
Bi-fuel,Bosnia and Herzegovina,2020,62.0
Bi-fuel,Bosnia and Herzegovina,2021,200.0
Bi-fuel,Bosnia and Herzegovina,2022,266.0
Bi-fuel,Bosnia and Herzegovina,2023,197.0
Bi-fuel,Bosnia and Herzegovina,2024,202.0
Bi-fuel,Belgium,2013,199.0
Bi-fuel,Belgium,2014,795.0
Bi-fuel,Belgium,2015,645.0
Bi-fuel,Belgium,2016,1592.0
Bi-fuel,Belgium,2017,1948.0
Bi-fuel,Belgium,2018,3215.0
Bi-fuel,Belgium,2019,477.0
Bi-fuel,Belgium,2020,1073.0
Bi-fuel,Belgium,2021,2177.0
Bi-fuel,Belgium,2022,2488.0
Bi-fuel,Belgium,2023,3468.0
Bi-fuel,Belgium,2024,3502.0
Bi-fuel,Bulgaria,2024,0.0
Bi-fuel,Switzerland,2013,444.0
Bi-fuel,Switzerland,2014,839.0
Bi-fuel,Switzerland,2015,897.0
Bi-fuel,Switzerland,2016,692.0
Bi-fuel,Switzerland,2017,639.0
Bi-fuel,Switzerland,2018,691.0
Bi-fuel,Switzerland,2019,157.0
Bi-fuel,Switzerland,2020,60.0
Bi-fuel,Switzerland,2021,26.0
Bi-fuel,Switzerland,2022,23.0
Bi-fuel,Switzerland,2023,15.0
Bi-fuel,Switzerland,2024,8.0
Bi-fuel,Cyprus,2013,0.0
Bi-fuel,Cyprus,2014,0.0
Bi-fuel,Cyprus,2015,0.0
Bi-fuel,Cyprus,2016,0.0
Bi-fuel,Cyprus,2017,0.0
Bi-fuel,Cyprus,2018,0.0
Bi-fuel,Cyprus,2019,0.0
Bi-fuel,Cyprus,2020,0.0
Bi-fuel,Cyprus,2021,0.0
Bi-fuel,Cyprus,2022,0.0
Bi-fuel,Cyprus,2023,0.0
Bi-fuel,Cyprus,2024,0.0
Bi-fuel,Czechia,2021,2704.0
Bi-fuel,Denmark,2019,0.0
Bi-fuel,Denmark,2020,0.0
Bi-fuel,Denmark,2021,0.0
Bi-fuel,Denmark,2022,0.0
Bi-fuel,Denmark,2023,0.0
Bi-fuel,Denmark,2024,0.0
Bi-fuel,Greece,2021,2295.0
Bi-fuel,Greece,2022,3066.0
Bi-fuel,Greece,2023,3380.0
Bi-fuel,Greece,2024,3430.0
Bi-fuel,Spain,2015,0.0
Bi-fuel,Spain,2016,2462.0
Bi-fuel,Spain,2017,6603.0
Bi-fuel,Spain,2018,24522.0
Bi-fuel,Spain,2019,24247.0
Bi-fuel,Spain,2020,11072.0
Bi-fuel,Spain,2021,14226.0
Bi-fuel,Spain,2022,15208.0
Bi-fuel,Spain,2023,26717.0
Bi-fuel,Spain,2024,33823.0
Bi-fuel,Finland,2013,83.0
Bi-fuel,Finland,2014,86.0
Bi-fuel,Finland,2015,140.0
Bi-fuel,Finland,2016,127.0
Bi-fuel,Finland,2017,368.0
Bi-fuel,Finland,2018,979.0
Bi-fuel,Finland,2019,7.0
Bi-fuel,Finland,2021,0.0
Bi-fuel,Finland,2022,0.0
Bi-fuel,Finland,2023,0.0
Bi-fuel,Finland,2024,0.0
Bi-fuel,France,2013,2850.0
Bi-fuel,France,2014,2314.0
Bi-fuel,France,2015,1579.0
Bi-fuel,France,2016,450.0
Bi-fuel,France,2017,1033.0
Bi-fuel,France,2018,2275.0
Bi-fuel,France,2019,2107.0
Bi-fuel,France,2020,16335.0
Bi-fuel,France,2021,46291.0
Bi-fuel,France,2022,46841.0
Bi-fuel,France,2023,62781.0
Bi-fuel,France,2024,56627.0
Bi-fuel,Georgia,2023,0.0
Bi-fuel,Georgia,2024,0.0
Bi-fuel,Croatia,2013,171.0
Bi-fuel,Croatia,2014,504.0
Bi-fuel,Croatia,2015,517.0
Bi-fuel,Croatia,2016,973.0
Bi-fuel,Croatia,2017,822.0
Bi-fuel,Croatia,2018,1135.0
Bi-fuel,Croatia,2019,1137.0
Bi-fuel,Croatia,2021,1794.0
Bi-fuel,Croatia,2022,1575.0
Bi-fuel,Croatia,2023,1287.0
Bi-fuel,Croatia,2024,794.0
Bi-fuel,Hungary,2013,234.0
Bi-fuel,Hungary,2014,99.0
Bi-fuel,Hungary,2015,143.0
Bi-fuel,Hungary,2016,91.0
Bi-fuel,Hungary,2017,45.0
Bi-fuel,Hungary,2018,73.0
Bi-fuel,Hungary,2019,124.0
Bi-fuel,Hungary,2020,363.0
